power.draw [W]
61.65 W
61.65 W
61.65 W
61.65 W
61.65 W
61.44 W
61.44 W
61.44 W
61.44 W
61.44 W
61.44 W
61.44 W
61.44 W
61.44 W
61.73 W
61.73 W
61.73 W
61.73 W
61.73 W
61.73 W
61.73 W
61.73 W
61.73 W
61.73 W
61.73 W
61.70 W
61.70 W
61.70 W
61.70 W
61.70 W
61.70 W
61.70 W
61.70 W
61.70 W
61.54 W
61.54 W
61.54 W
61.54 W
61.54 W
61.54 W
61.54 W
61.71 W
61.71 W
61.71 W
61.71 W
61.71 W
61.71 W
61.71 W
61.71 W
61.71 W
61.71 W
61.71 W
61.49 W
61.49 W
61.49 W
61.49 W
61.49 W
61.49 W
61.49 W
61.49 W
61.56 W
61.56 W
61.56 W
61.56 W
61.56 W
61.56 W
61.56 W
61.56 W
61.56 W
61.56 W
61.56 W
61.56 W
61.64 W
61.64 W
61.64 W
61.64 W
61.64 W
61.64 W
61.64 W
61.64 W
61.64 W
61.64 W
61.64 W
61.78 W
61.78 W
61.78 W
61.78 W
61.78 W
61.78 W
61.78 W
61.78 W
61.78 W
61.78 W
61.78 W
64.46 W
64.46 W
64.46 W
64.46 W
64.46 W
64.46 W
64.46 W
64.46 W
64.46 W
64.46 W
64.46 W
64.73 W
64.73 W
64.73 W
64.73 W
64.73 W
64.73 W
64.73 W
64.73 W
64.73 W
64.73 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
64.50 W
65.29 W
65.29 W
65.29 W
65.29 W
65.29 W
65.29 W
65.29 W
65.29 W
65.29 W
65.29 W
65.71 W
65.71 W
65.71 W
65.71 W
65.71 W
65.71 W
65.71 W
65.71 W
65.71 W
65.71 W
65.54 W
65.54 W
65.54 W
65.54 W
65.45 W
65.45 W
65.45 W
65.45 W
64.67 W
64.67 W
64.67 W
64.67 W
64.05 W
64.05 W
64.05 W
64.05 W
64.05 W
64.05 W
64.05 W
64.05 W
64.05 W
64.05 W
64.05 W
65.02 W
65.02 W
65.02 W
65.02 W
65.02 W
65.02 W
65.02 W
65.02 W
65.02 W
65.02 W
64.59 W
64.59 W
64.59 W
64.59 W
64.59 W
64.59 W
64.59 W
64.59 W
65.32 W
65.32 W
65.32 W
65.32 W
65.32 W
65.32 W
65.32 W
65.32 W
65.32 W
65.32 W
65.32 W
65.75 W
65.75 W
65.75 W
65.75 W
65.75 W
65.75 W
65.75 W
65.75 W
65.75 W
65.96 W
65.96 W
65.96 W
65.96 W
65.96 W
65.96 W
65.96 W
65.96 W
65.96 W
66.16 W
66.16 W
66.16 W
66.16 W
66.16 W
66.16 W
66.16 W
66.16 W
66.16 W
65.82 W
65.82 W
65.82 W
65.82 W
65.82 W
65.82 W
65.82 W
65.82 W
65.82 W
65.82 W
65.82 W
65.77 W
65.77 W
65.77 W
65.77 W
65.77 W
65.77 W
65.77 W
65.77 W
65.77 W
65.77 W
65.77 W
65.46 W
65.46 W
65.46 W
65.46 W
65.46 W
65.46 W
65.46 W
65.46 W
65.46 W
65.46 W
65.46 W
65.39 W
65.39 W
65.39 W
65.39 W
65.39 W
65.39 W
65.39 W
65.39 W
65.39 W
63.52 W
63.52 W
63.52 W
63.52 W
63.52 W
63.52 W
63.52 W
63.52 W
63.52 W
64.69 W
64.69 W
64.69 W
64.69 W
64.69 W
64.69 W
64.69 W
64.69 W
64.69 W
64.69 W
64.69 W
64.43 W
64.43 W
64.43 W
64.43 W
64.43 W
64.43 W
64.43 W
64.43 W
64.43 W
64.43 W
65.16 W
65.16 W
65.16 W
65.16 W
65.16 W
65.16 W
65.16 W
65.16 W
65.16 W
65.16 W
65.09 W
65.09 W
65.09 W
65.09 W
65.09 W
65.09 W
65.09 W
65.09 W
65.09 W
65.09 W
65.09 W
65.17 W
65.17 W
65.17 W
65.17 W
65.17 W
65.17 W
65.17 W
65.17 W
65.17 W
65.17 W
65.17 W
65.94 W
65.94 W
65.94 W
65.94 W
65.94 W
65.94 W
65.94 W
65.94 W
65.94 W
65.94 W
65.59 W
65.59 W
65.59 W
65.59 W
65.59 W
65.59 W
65.59 W
65.59 W
65.59 W
65.62 W
65.62 W
65.62 W
65.62 W
65.62 W
65.62 W
65.62 W
65.62 W
65.62 W
65.62 W
66.11 W
66.11 W
66.11 W
66.11 W
66.11 W
66.11 W
66.11 W
66.11 W
66.11 W
66.11 W
66.11 W
66.39 W
66.39 W
66.39 W
66.39 W
66.39 W
66.39 W
66.39 W
66.39 W
66.39 W
66.39 W
66.39 W
65.69 W
65.69 W
65.69 W
65.69 W
65.69 W
65.69 W
65.69 W
64.39 W
64.39 W
64.39 W
64.39 W
64.39 W
64.39 W
64.39 W
64.39 W
64.39 W
64.39 W
64.39 W
65.00 W
65.00 W
65.00 W
65.00 W
65.00 W
65.00 W
65.00 W
65.00 W
65.00 W
65.00 W
65.00 W
65.19 W
65.19 W
65.19 W
65.19 W
65.19 W
65.19 W
65.19 W
65.19 W
65.19 W
65.19 W
65.19 W
65.36 W
65.36 W
65.36 W
65.36 W
65.36 W
